"日時","通貨等","変動量"
"2019/06/04 08:25:51","JPY","46,104"
"2019/06/04 08:25:51","BTC","-0.05468149"
"2018/11/21 05:21:12","JPY","67,291"
"2018/11/21 05:21:12","BTC","-0.15045069"
"2017/12/27 01:16:05","JPY","18,702"
"2017/12/27 01:16:05","BTC","-0.01069151"
"2017/12/23 00:23:07","JPY","25,001"
"2017/12/23 00:23:07","BTC","-0.01594961"
"2017/12/20 09:37:40","JPY","59,508"
"2017/12/20 09:37:40","BTC","-0.0312352"
"2017/12/18 00:29:21","JPY","120,577"
"2017/12/18 00:29:21","BTC","-0.05828848"
