"日時","注文 ID","取引ID","ペア","売・買","注文数量","手数料","価格","ステータス","自己・媒介"
"2025/12/04 22:22:53","JOR20251204-132253-993614X","JEX20251204-132253-993627X","XRP_JPY","買い","30","0.045","332.92","取引済","媒介"
"2024/11/14 01:12:36","JFX20241111-233147-403055F","JEX20241113-161236-210679F","BTC_CFD_JPY","売り","0.02","0","14,500,000","取引済","自己"
"2024/03/14 13:51:15","JFX20240314-045111-804315F","JEX20240314-045115-805365F","FX_BTC_JPY","買い","0.02","0","11,236,363","取引済","自己"
"2024/02/22 17:58:35","JFX20240222-085835-862282F","JEX20240222-085835-862298F","FX_BTC_JPY","買い","0.01","0","8,603,814","取引済","自己"
"2024/02/22 17:56:42","JFX20240222-085642-851755F","JEX20240222-085642-851769F","FX_BTC_JPY","売り","0.01","0","8,600,857","取引済","自己"
"2024/02/22 17:53:04","JFX20240222-085304-834205F","JEX20240222-085304-834215F","FX_BTC_JPY","買い","0.01","0","8,607,163","取引済","自己"
"2024/02/22 17:52:43","JFX20240222-085243-832645F","JEX20240222-085243-832652F","FX_BTC_JPY","売り","0.01","0","8,604,987","取引済","自己"
"2021/11/11 01:25:15","JOR20211110-160108-855239","JEX20211110-162515-069203","BTC_JPY","売り","0.015","0.000021","7,780,000","取引済","媒介"
"2021/10/18 17:40:44","JOR20211018-084012-609749","JEX20211018-084044-618878","BTC_JPY","売り","0.02","0.00003","7,060,000","取引済","媒介"
"2021/10/07 08:12:13","JOR20211006-172732-811126","JEX20211006-231213-942887","BTC_JPY","売り","0.01","0.000015","6,200,000","取引済","媒介"
"2021/08/22 13:09:45","JOR20210822-035706-159562","JEX20210822-040945-317226","BTC_JPY","売り","0.01","0.000015","5,360,000","取引済","媒介"
"2021/08/10 09:05:27","JOR20210810-000106-455572","JEX20210810-000527-572959","BTC_JPY","売り","0.01","0.000015","5,110,000","取引済","媒介"
"2021/08/06 04:12:03","JOR20210804-214348-038075","JEX20210805-191203-952818","BTC_JPY","売り","0.01","0.000015","4,512,557","取引済","媒介"
"2021/05/10 06:11:07","JOR20210509-210817-154907","JEX20210509-211107-203813","BTC_JPY","売り","0.01","0.000015","6,302,000","取引済","媒介"
"2021/04/12 10:16:23","JOR20210412-005821-537960","JEX20210412-011623-741761","BTC_JPY","売り","0.01","0.000014","6,590,000","取引済","媒介"
"2021/04/08 09:52:14","JOR20210407-235935-881108","JEX20210408-005214-851730","BTC_JPY","売り","0.001","0.0000013","6,210,000","取引済","媒介"
"2021/04/08 09:52:14","JOR20210407-235935-881108","JEX20210408-005214-851687","BTC_JPY","売り","0.009","0.0000117","6,210,000","取引済","媒介"
"2021/03/30 06:46:04","JOR20210329-214556-628525","JEX20210329-214604-629411","BTC_JPY","売り","0.005","0.0000065","6,305,000","取引済","媒介"
"2021/03/29 16:07:01","JOR20210329-033729-896758","JEX20210329-070701-858574","BTC_JPY","売り","0.005","0.0000065","6,080,000","取引済","媒介"
"2021/03/15 08:03:08","JOR20210314-230308-590366","JEX20210314-230308-590425","BTC_JPY","売り","0.005","0.0000055","6,579,000","取引済","媒介"
"2021/03/10 22:13:58","JOR20210310-021119-212808","JEX20210310-131358-608088","BTC_JPY","売り","0.005","0.0000055","6,010,000","取引済","媒介"
"2021/03/09 12:22:23","JOR20210309-022120-492998","JEX20210309-032223-473267","BTC_JPY","売り","0.005","0.0000055","5,850,000","取引済","媒介"
"2021/03/09 11:11:55","JFX20210309-021155-349493F","JEX20210309-021155-349505F","FX_BTC_JPY","売り","0.01","0","6,082,130","取引済","媒介"
"2021/03/07 18:38:15","JOR20210306-065947-977766","JEX20210307-093815-828218","BTC_JPY","売り","0.005","0.0000055","5,500,000","取引済","媒介"
"2021/03/03 19:06:31","JFX20210301-230012-017674F","JEX20210303-100631-250099F","FX_BTC_JPY","売り","0.02","0","5,750,000","取引済","媒介"
"2021/02/26 16:41:10","JFX20210223-123849-363913F","JEX20210226-074110-018199F","FX_BTC_JPY","買い","0.01","0","4,900,000","取引済","媒介"
"2021/02/23 17:55:57","JFX20210222-191425-861419F","JEX20210223-085557-049063F","FX_BTC_JPY","買い","0.02","0","5,210,000","取引済","媒介"
"2021/02/20 03:33:43","JOR20210219-163852-408375","JEX20210219-183343-930628","BTC_JPY","売り","0.005","0.0000055","5,790,000","取引済","媒介"
"2021/02/19 17:56:35","JFX20210218-232059-488408F","JEX20210219-085635-405895F","FX_BTC_JPY","売り","0.05","0","5,740,000","取引済","媒介"
"2021/02/19 08:05:54","JFX20210218-230343-545938F","JEX20210218-230554-642839F","FX_BTC_JPY","買い","0.0199997","0","5,685,000","取引済","媒介"
"2021/02/19 08:05:54","JFX20210218-230343-545938F","JEX20210218-230554-642747F","FX_BTC_JPY","買い","0.0100001","0","5,685,000","取引済","媒介"
"2021/02/19 08:05:53","JFX20210218-230343-545938F","JEX20210218-230553-641612F","FX_BTC_JPY","買い","0.0100001","0","5,685,000","取引済","媒介"
"2021/02/19 08:05:53","JFX20210218-230343-545938F","JEX20210218-230553-640906F","FX_BTC_JPY","買い","0.0100001","0","5,685,000","取引済","媒介"
"2021/02/17 07:57:37","JFX20210216-192018-595706F","JEX20210216-225737-032030F","FX_BTC_JPY","売り","0.02","0","5,410,000","取引済","媒介"
"2021/02/16 08:32:36","JFX20210215-225358-567422F","JEX20210215-233236-202092F","FX_BTC_JPY","買い","0.02","0","5,285,001","取引済","媒介"
"2021/02/16 07:54:24","JOR20210215-225039-318137","JEX20210215-225424-379587","BTC_JPY","売り","0.005","0.000006","5,080,000","取引済","自己"
"2021/02/09 08:23:19","JFX20210208-150504-080050F","JEX20210208-232319-374859F","FX_BTC_JPY","売り","0.05","0","4,999,999","取引済","媒介"
"2021/02/09 06:57:26","JOR20210208-151225-193922","JEX20210208-215726-272350","BTC_JPY","売り","0.005","0.0000065","4,700,000","取引済","媒介"
"2021/02/09 00:00:19","JFX20210208-145853-891510F","JEX20210208-150019-932422F","FX_BTC_JPY","売り","0.05","0","4,755,000","取引済","媒介"
"2021/02/08 21:45:44","JFX20210129-144157-727375F","JEX20210208-124544-059053F","FX_BTC_JPY","売り","0.05","0","4,500,000","取引済","媒介"
"2021/02/06 10:18:23","JOR20210206-011438-698451","JEX20210206-011823-792437","BTC_JPY","売り","0.005","0.000005","4,100,000","取引済","媒介"
"2021/02/04 17:14:04","JOR20210129-143320-827401","JEX20210204-081404-343107","BTC_JPY","売り","0.005","0.000005","4,000,000","取引済","媒介"
"2021/01/11 12:36:15","JFX20210108-095413-877794F","JEX20210111-033615-541155F","FX_BTC_JPY","買い","0.05","0","3,600,000","取引済","媒介"
"2021/01/09 12:09:49","JFX20210109-030949-030063F","JEX20210109-030949-030072F","FX_BTC_JPY","買い","0.1","0","4,317,928","取引済","媒介"
"2021/01/08 12:05:14","JFX20210108-030510-735063F","JEX20210108-030514-739525F","FX_BTC_JPY","売り","0.01096258","0","4,055,000","取引済","媒介"
"2021/01/08 12:05:13","JFX20210108-030510-735063F","JEX20210108-030513-739048F","FX_BTC_JPY","売り","0.01","0","4,055,000","取引済","媒介"
"2021/01/08 12:05:13","JFX20210108-030510-735063F","JEX20210108-030513-739008F","FX_BTC_JPY","売り","0.22903742","0","4,055,000","取引済","媒介"
"2021/01/08 11:44:18","JFX20210108-023219-378323F","JEX20210108-024418-670739F","FX_BTC_JPY","買い","0.05","0","3,920,000","取引済","媒介"
"2021/01/08 11:29:25","JFX20210108-022925-100258F","JEX20210108-022925-100303F","FX_BTC_JPY","買い","0.0255","0","4,051,767","取引済","媒介"
"2021/01/08 11:29:25","JFX20210108-022925-100258F","JEX20210108-022925-100293F","FX_BTC_JPY","買い","0.02","0","4,051,767","取引済","媒介"
