Transaction,Type,Input Currency,Input Amount,Output Currency,Output Amount,USD Equivalent,Fee,Fee Currency,Details,Date / Time (UTC)
NXT5CxOwvMpztCCM9ZoX7aY2s,Interest,NEXO,2.25237870,NEXO,2.25237870,$1.82,-,-,"approved / 1.819752 USDC",2026-06-12 05:00:00
NXT6B8HMjstZiBPSTq2Ew12lO,Interest,NEXO,0.79295060,NEXO,0.79295060,$0.64,-,-,"approved / NEXO Interest Earned",2026-06-12 05:00:00
NXT2UD9xOGml2ruMpaRGF5SaH,Interest,NEXO,2.44253903,NEXO,2.44253903,$1.97,-,-,"approved / 0.00003107 BTC",2026-06-12 05:00:00
NXT78zqltrycrgL6GDd75V1ox,Interest,NEXO,8.69876023,NEXO,8.69876023,$7.03,-,-,"approved / 7.033040 USDT",2026-06-12 05:00:00
NXT7ck9dntsgF9UrYUD2dWjil,Dual Investment Lock,USDT,-1000.00000000,USDT,1000.00000000,$998.95,-,-,"completed / Transfer from Savings Wallet to Dual Investment",2026-06-11 21:37:09
NXT75MTSFwelHxWuiuKZjhMNM,Dual Investment Interest,USDT,1.15421000,USDT,1.15421000,$1.15,-,-,"completed / USDT Interest Earned",2026-06-11 08:00:21
NXT7hSJrZ88rgAxIqmRydRUCZ,Dual Investment Unlock,USDT,1000.00000000,USDT,1000.00000000,$998.72,-,-,"completed / Transfer from Dual Investment to Savings Wallet",2026-06-11 08:00:21
NXT7121VJCiLVOhuMJbJOzm30,Interest,NEXO,2.30790196,NEXO,2.30790196,$1.82,-,-,"approved / 1.819752 USDC",2026-06-11 05:00:00
NXT4Lyvem0RQiPCmADSXU1Ssx,Interest,NEXO,0.79178164,NEXO,0.79178164,$0.62,-,-,"approved / NEXO Interest Earned",2026-06-11 05:00:00
NXT4EgANq2MdC1yjCiinQHDC,Interest,NEXO,2.42120590,NEXO,2.42120590,$1.91,-,-,"approved / 0.00003107 BTC",2026-06-11 05:00:00
NXT1xAwGN1aFsOShGHf0CcnZq,Interest,NEXO,8.91319228,NEXO,8.91319228,$7.03,-,-,"approved / 7.032740 USDT",2026-06-11 05:00:00
NXT5kdsGoLdYkC7zZXQhxHP5G,Dual Investment Interest,USDT,0.66206000,USDT,0.66206000,$0.66,-,-,"completed / USDT Interest Earned",2026-06-10 08:00:21
NXT2QDpy1UrwjK7IhxED7drIY,Dual Investment Unlock,USDT,1000.00000000,USDT,1000.00000000,$999.16,-,-,"completed / Transfer from Dual Investment to Savings Wallet",2026-06-10 08:00:21
NXT4fgQDWAZeJpUHVoWAJxHuN,Unlocking Term Deposit,BTC,0.01000000,BTC,0.01000000,$612.23,-,-,"approved / Transfer from Term Wallet to Savings Wallet",2026-06-10 05:31:25
NXT1M31Kh7Keogd2qmsO1nzIv,Unlocking Term Deposit,USDC,1000.00000000,USDC,1000.00000000,$999.70,-,-,"approved / Transfer from Term Wallet to Savings Wallet",2026-06-10 05:31:24
NXTt0YgrbhNLL3MAvh0KgShr,Unlocking Term Deposit,USDT,1000.00000000,USDT,1000.00000000,$999.27,-,-,"approved / Transfer from Term Wallet to Savings Wallet",2026-06-10 05:31:24
NXT6IHDhBwBSjHdf69pBJVrP7,Interest,NEXO,2.06148010,NEXO,2.06148010,$1.59,-,-,"approved / 1.586876 USDC",2026-06-10 05:00:00
NXT6vt2tXC60TJa33B2bsgV9h,Interest,NEXO,0.78508602,NEXO,0.78508602,$0.60,-,-,"approved / NEXO Interest Earned",2026-06-10 05:00:00
NXT78o0O292MaA0UTQUSSYw3U,Interest,NEXO,2.38957076,NEXO,2.38957076,$1.84,-,-,"approved / 0.00002978 BTC",2026-06-10 05:00:00
NXT6RcNr2gmbL44RNKq3f37Wt,Fixed Term Interest,NEXO,30.79475151,NEXO,30.79475151,$23.66,-,-,"approved / USDC Term Deposit Interest in NEXO",2026-06-10 05:00:00
NXT4OHSjynVWMNpvwhEUTDsBG,Fixed Term Interest,NEXO,33.66337224,NEXO,33.66337224,$25.87,-,-,"approved / USDT Term Deposit Interest in NEXO",2026-06-10 05:00:00
NXTSF1xHmJKltyL08eJUYJlR,Fixed Term Interest,NEXO,4.18746792,NEXO,4.18746792,$3.22,-,-,"approved / BTC Term Deposit Interest in NEXO",2026-06-10 05:00:00
NXT3OuCR6BBh0KFsWc2RoWp8s,Interest,NEXO,8.79429940,NEXO,8.79429940,$6.77,-,-,"approved / 6.772293 USDT",2026-06-10 05:00:00
NXT4zXj898xRxw6Rugn4v531t,Dual Investment Lock,USDT,-1000.00000000,USDT,1000.00000000,$999.37,-,-,"completed / Transfer from Savings Wallet to Dual Investment",2026-06-10 01:00:12
NXT152rJO2eGFZpXKUigGsl1X,Dual Investment Interest,USDT,0.95728000,USDT,0.95728000,$0.96,-,-,"completed / USDT Interest Earned",2026-06-09 08:00:20
NXT3plcyx82kCa5bhRlHXi9lj,Dual Investment Unlock,USDT,1000.00000000,USDT,1000.00000000,$999.43,-,-,"completed / Transfer from Dual Investment to Savings Wallet",2026-06-09 08:00:20
NXT6pbxTF5sDjdaqpgZWpXaB7,Interest,NEXO,2.01189386,NEXO,2.01189386,$1.59,-,-,"approved / 1.586876 USDC",2026-06-09 05:00:00
NXT6x7UaxFfJeFCAoLlYvUqcB,Interest,NEXO,0.78399824,NEXO,0.78399824,$0.62,-,-,"approved / NEXO Interest Earned",2026-06-09 05:00:00
NXT7DDz8daN5rPnksdnauyybR,Interest,NEXO,2.38064550,NEXO,2.38064550,$1.88,-,-,"approved / 0.00002978 BTC",2026-06-09 05:00:00
NXT1Iuo1hgJM4rt79snnEShdR,Interest,NEXO,8.25524027,NEXO,8.25524027,$6.51,-,-,"approved / 6.511770 USDT",2026-06-09 05:00:00
NXT1R3sXDXmlTU1vdgv5KDgBm,Dual Investment Lock,USDT,-1000.00000000,USDT,1000.00000000,$999.65,-,-,"completed / Transfer from Savings Wallet to Dual Investment",2026-06-08 23:21:46
NXT7c6wJrUcdjH6PC9xNdlqDW,Locking Term Deposit,USDC,-1500.00000000,USDC,1500.00000000,$1499.60,-,-,"approved / Transfer from Savings Wallet to Term Wallet",2026-06-08 23:19:36
