日付,通貨種別,貸出数量,総単日受取予定利息,総累計受取予定利息,返還数量,返還受取利息（利確数量）,手数料（送金・解約）,プレミアム移行数量,プレミアム移行受取利息（利確数量）,プレミアム満期数量,プレミアム満期受取利息（利確数量）,運営からの付与数量（利確数量）,総貸出元本残高,総受取数量,ご参考レート,備考
2025-09-30,BTC,0.1000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,16877648.58000000,
2025-10-01,BTC,0.0000000000,0.0000274000,0.0000274000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1000000000,0.0000000000,17450607.57000000,
2025-10-02,BTC,0.0000000000,0.0000274000,0.0000548000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1000000000,0.0000000000,17757704.30000000,
2025-10-03,BTC,0.0000000000,0.0000274000,0.0000822000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1000000000,0.0000000000,18012915.10000000,
2025-10-04,BTC,0.0000000000,0.0000274000,0.0001096000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1000000000,0.0000000000,18051017.34000000,
2025-10-05,BTC,0.0000000000,0.0000274000,0.0001370000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1000000000,0.0000000000,18476504.05000000,
2025-10-06,BTC,0.0000000000,0.0000274000,0.0001644000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1000000000,0.0000000000,18755794.12000000,
2025-10-07,BTC,0.0000000000,0.0000274000,0.0001918000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1000000000,0.0000000000,18463585.18000000,
2025-10-08,BTC,0.0000000000,0.0000274000,0.0002192000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1000000000,0.0000000000,18821958.98000000,
2025-10-09,BTC,0.0000000000,0.0000274000,0.0002466000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1000000000,0.0000000000,18622779.67000000,
